Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Illinois,US,2/8/2021 5:30,40.3495,-88.9861,1146346,21738,,,17,9046.418822,16636585,,1.896286113,84000017,USA,131288.0367,,2/7/2021,,
Indiana,US,2/8/2021 5:30,39.8494,-86.2583,639711,11817,415656,212238,18,9502.230988,7285821,,1.847240394,84000018,USA,1.08223E-05,,2/7/2021,,
Iowa,US,2/8/2021 5:30,42.0115,-93.2105,324590,5108,293597,25885,19,10287.88585,1268161,,1.573677562,84000019,USA,40194.38554,,2/7/2021,,
Kansas,US,2/8/2021 5:30,38.5266,-96.7265,283561,4113,5912,273901,20,9745.808382,1197053,,1.448616893,84000020,USA,41089.04842,,2/7/2021,,
Kentucky,US,2/8/2021 5:30,37.6681,-84.6701,377790,4051,44945,328794,21,8456.079932,3676301,,1.072288838,84000021,USA,82286.7072,,2/7/2021,,
Louisiana,US,2/8/2021 5:30,31.1695,-91.8678,411812,9119,363457,39236,22,8858.46953,5174839,,2.214359951,84000022,USA,111315.7305,,2/7/2021,,
Maine,US,2/8/2021 5:30,44.6939,-69.3819,41219,635,12526,28058,23,3066.406192,1438379,,1.540551687,84000023,USA,107005.3682,,2/7/2021,,
Maryland,US,2/8/2021 5:30,39.0639,-76.8021,363650,7349,9525,346776,24,6015.038838,7237247,,2.020899216,84000024,USA,1.19709E-05,,2/7/2021,,
Massachusetts,US,2/8/2021 5:30,42.2302,-71.5301,543934,12649,425717,103218,25,7891.675927,14823480,,2.757503668,84000025,USA,2.15067E-05,,2/7/2021,,
Michigan,US,2/8/2021 5:30,43.3266,-84.5361,620685,15854,498495,106336,26,6215.018399,9708516,,2.554274713,84000026,USA,9.72129E-06,,2/7/2021,,
Minnesota,US,2/8/2021 5:30,45.6945,-93.9002,468118,6367,453225,8526,27,8300.506132,6415297,,1.360127147,84000027,USA,113753.8229,,2/7/2021,,
Mississippi,US,2/8/2021 5:30,32.7416,-89.6787,281678,6269,238176,37233,28,9464.512697,1609308,,2.225590923,84000028,USA,54073.50237,,2/7/2021,,
